Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr6	0	1.04876338263724	0.0
chr6	1000000	2.01035267457595	1.04876338263724
chr6	2000000	3.0002439972185395	3.05911605721319
chr6	3000000	2.5687180591149295	6.05936005443173
chr6	4000000	1.5016411498117297	8.62807811354666
chr6	5000000	1.99223669872344	10.12971926335839
chr6	6000000	1.6047587637651	12.121955962081831
chr6	7000000	3.9984462073155704	13.72671472584693
chr6	8000000	2.89304054304034	17.7251609331625
chr6	9000000	2.8633799052045497	20.618201476202838
chr6	10000000	2.77169984407491	23.481581381407388
chr6	11000000	1.54114876600511	26.253281225482297
chr6	12000000	1.0580357064694799	27.79442999148741
chr6	13000000	1.09032769609184	28.852465697956887
chr6	14000000	0.93599643342274	29.942793394048728
chr6	15000000	1.33050935786781	30.87878982747147
chr6	16000000	0.9893510419398899	32.209299185339276
chr6	17000000	0.9783957763591999	33.19865022727917
chr6	18000000	1.84940157395867	34.17704600363837
chr6	19000000	1.2088098763586799	36.02644757759704
chr6	20000000	0.9953481517405098	37.23525745395572
chr6	21000000	0.9859168037669298	38.230605605696226
chr6	22000000	0.8812292216432899	39.21652240946315
chr6	23000000	0.25154665103298995	40.09775163110644
chr6	24000000	1.13317492276401	40.34929828213943
chr6	25000000	1.9774638448488602	41.48247320490344
chr6	26000000	0.36507522559915	43.459937049752305
chr6	27000000	0.91522073120328	43.825012275351455
chr6	28000000	1.10474706800284	44.74023300655473
chr6	29000000	2.0769413690508998	45.84498007455757
chr6	30000000	0.99567350837963	47.92192144360847
chr6	31000000	1.48618984026627	48.9175949519881
chr6	32000000	3.1483075101381095	50.40378479225437
chr6	33000000	0.8630383829309101	53.55209230239248
chr6	34000000	1.81411567229599	54.41513068532339
chr6	35000000	1.23668469070776	56.22924635761938
chr6	36000000	0.7824539344581801	57.46593104832714
chr6	37000000	0.90438880449716	58.248384982785325
chr6	38000000	1.52511503637632	59.152773787282484
chr6	39000000	1.7802053770708801	60.677888823658805
chr6	40000000	1.4237656431913799	62.45809420072968
chr6	41000000	0.79164780418962	63.88185984392106
chr6	42000000	0.40153478462780995	64.67350764811069
chr6	43000000	0.45629802903235994	65.0750424327385
chr6	44000000	0.53023546008694	65.53134046177085
chr6	45000000	0.32532840583311	66.0615759218578
chr6	46000000	0.5107381802707099	66.3869043276909
chr6	47000000	0.35275481935463	66.8976425079616
chr6	48000000	0.23752273518001	67.25039732731624
chr6	49000000	0.24194408111240998	67.48792006249624
chr6	50000000	0.28019491754800996	67.72986414360865
chr6	51000000	0.09866784709713002	68.01005906115667
chr6	52000000	0.12252617671929997	68.1087269082538
chr6	53000000	0.24007738893862995	68.2312530849731
chr6	54000000	0.17276448670259	68.47133047391173
chr6	55000000	0.15074572805533	68.64409496061432
chr6	56000000	0.17574814739039998	68.79484068866965
chr6	57000000	0.34079079436440995	68.97058883606005
chr6	58000000	0.17293205637935	69.31137963042445
chr6	59000000	0.19617411339038995	69.4843116868038
chr6	60000000	0.14269218850956	69.68048580019419
chr6	61000000	0.17370569778893	69.82317798870375
chr6	62000000	0.2455697992459	69.99688368649268
chr6	63000000	0.46297033012888	70.24245348573858
chr6	64000000	0.6520449776507099	70.70542381586746
chr6	65000000	0.7897540953437701	71.35746879351817
chr6	66000000	0.42954689021012005	72.14722288886193
chr6	67000000	0.50709732681176	72.57676977907205
chr6	68000000	0.39673385773806996	73.08386710588381
chr6	69000000	0.5039602815356801	73.48060096362188
chr6	70000000	0.61248784610391	73.98456124515756
chr6	71000000	0.8398183776011999	74.59704909126147
chr6	72000000	0.85047019275166	75.43686746886267
chr6	73000000	0.78076372641613	76.28733766161433
chr6	74000000	0.47427750928604	77.06810138803046
chr6	75000000	0.9607803709494499	77.5423788973165
chr6	76000000	0.5378845565657401	78.50315926826595
chr6	77000000	0.65654361246896	79.04104382483169
chr6	78000000	0.45985105842571	79.69758743730065
chr6	79000000	0.64966831853981	80.15743849572637
chr6	80000000	0.36703990398657	80.80710681426618
chr6	81000000	0.48049716089362	81.17414671825274
chr6	82000000	0.5060601554682599	81.65464387914636
chr6	83000000	0.41760523649349995	82.16070403461462
chr6	84000000	0.32504896454925	82.57830927110813
chr6	85000000	0.59320360865406	82.90335823565738
chr6	86000000	0.6446493203651099	83.49656184431144
chr6	87000000	0.62487792884303	84.14121116467655
chr6	88000000	0.58182983127403	84.76608909351958
chr6	89000000	0.46787477133511995	85.34791892479362
chr6	90000000	0.18736352931873	85.81579369612874
chr6	91000000	0.67035321611581	86.00315722544747
chr6	92000000	0.50590253312916	86.67351044156328
chr6	93000000	0.5265974261475399	87.17941297469244
chr6	94000000	0.4255761784981199	87.70601040083999
chr6	95000000	0.3780357980924499	88.1315865793381
chr6	96000000	0.5344762577925299	88.50962237743056
chr6	97000000	0.28238795776221	89.0440986352231
chr6	98000000	0.54034691995159	89.3264865929853
chr6	99000000	0.5224468772642299	89.86683351293689
chr6	100000000	0.37123459190282	90.38928039020112
chr6	101000000	0.36900521535938996	90.76051498210394
chr6	102000000	0.37809321637532994	91.12952019746334
chr6	103000000	0.2093034643639	91.50761341383867
chr6	104000000	0.15899824179842	91.71691687820257
chr6	105000000	0.18723809532729999	91.87591512000098
chr6	106000000	0.28524974799312	92.06315321532828
chr6	107000000	0.52555425991434	92.3484029633214
chr6	108000000	0.24807519003336	92.87395722323575
chr6	109000000	0.22686499999588997	93.12203241326911
chr6	110000000	0.27858405003813	93.34889741326501
chr6	111000000	0.32543307976964997	93.62748146330314
chr6	112000000	0.12218634230483001	93.9529145430728
chr6	113000000	0.12424515589118	94.07510088537762
chr6	114000000	0.35456440161688	94.1993460412688
chr6	115000000	0.20282908054239998	94.55391044288568
chr6	116000000	0.14250629970188	94.75673952342808
chr6	117000000	0.31954488421239996	94.89924582312996
chr6	118000000	0.34355840304563	95.21879070734236
chr6	119000000	0.57221804262125	95.562349110388
chr6	120000000	0.46130758930341004	96.13456715300924
chr6	121000000	0.10411225680035999	96.59587474231266
chr6	122000000	0.2857894707284	96.69998699911302
chr6	123000000	0.19208341664122996	96.98577646984143
chr6	124000000	0.20275168315972	97.17785988648265
chr6	125000000	0.17921158323167	97.38061156964237
chr6	126000000	0.34353734867713004	97.55982315287405
chr6	127000000	0.43640031060625994	97.90336050155118
chr6	128000000	0.33281466944374993	98.33976081215744
chr6	129000000	0.31886680000944	98.67257548160119
chr6	130000000	0.44992391997688996	98.99144228161063
chr6	131000000	0.46305329228514996	99.44136620158753
chr6	132000000	0.43647900730431	99.90441949387268
chr6	133000000	0.45495618731994	100.340898501177
chr6	134000000	0.62176542389945	100.79585468849693
chr6	135000000	1.10406783888349	101.41762011239638
chr6	136000000	0.63164793135882	102.52168795127987
chr6	137000000	0.36990183501324997	103.15333588263869
chr6	138000000	0.26849539698341995	103.52323771765194
chr6	139000000	0.32381300870962	103.79173311463536
chr6	140000000	0.52268800347248	104.11554612334498
chr6	141000000	0.6188652043276099	104.63823412681747
chr6	142000000	0.73685302637979	105.25709933114507
chr6	143000000	0.88897736934449	105.99395235752486
chr6	144000000	1.68650451069714	106.88292972686935
chr6	145000000	1.85713411499963	108.56943423756648
chr6	146000000	2.04447821165492	110.42656835256611
chr6	147000000	2.4903896120697997	112.47104656422103
chr6	148000000	1.33699922784477	114.96143617629083
chr6	149000000	2.02137636280353	116.2984354041356
chr6	150000000	1.32647883550653	118.31981176693914
chr6	151000000	1.35941005123987	119.64629060244567
chr6	152000000	2.43233260874556	121.00570065368555
chr6	153000000	2.11373135417469	123.4380332624311
chr6	154000000	3.141639200456729	125.5517646166058
chr6	155000000	1.78708816574258	128.69340381706252
