Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr11	58341	0.0	0.0
chr11	58362	0.0	0.0
chr11	64514	0.7743731498363035	0.0
chr11	115523	0.14744517720229483	0.0395
chr11	190127	0.0	0.0505
chr11	215037	0.0	0.0505
chr11	252479	0.0	0.0505
chr11	280200	0.0	0.0505
chr11	280217	0.9756680339293533	0.0505
chr11	305328	0.07764819157361832	0.075
chr11	369721	0.4618937644341805	0.08
chr11	380546	0.387615447193377	0.085
chr11	485031	0.0	0.1255
chr11	504717	0.36332808526099103	0.1255
chr11	521231	2.057189878625797	0.1315
chr11	550397	0.18944417080286458	0.1915
chr11	576790	1.1170170326100584	0.1965
chr11	839991	0.0	0.4905
chr11	841308	0.0	0.4905
chr11	843215	0.4824455604043763	0.4905
chr11	888816	0.12327618797153243	0.5125
chr11	949655	0.1858439972388864	0.52
chr11	968488	0.0	0.5235
chr11	995640	1.7265477267121614	0.5235
chr11	1019966	0.2843201995744361	0.5655
chr11	1074482	4.119981912274535	0.581
chr11	1094385	0.04196062415029709	0.663
chr11	1273124	4.611772597685723	0.6705
chr11	1279087	0.33431771326684157	0.698
chr11	1332928	0.0	0.716
chr11	1346506	0.034553567902697736	0.716
chr11	1447798	0.7957340388152859	0.7195
chr11	1544564	1.3137644983296435	0.7965
chr11	1571205	0.14053402931138115	0.8315
chr11	1596110	0.0	0.835
chr11	1616246	0.31577924601632634	0.835
chr11	1636830	1.5456793715449513	0.8415
chr11	1664326	0.0	0.884
chr11	1700160	2.6396402268135297	0.884
chr11	1715503	0.6298246180678907	0.9245
chr11	1746464	0.21608324191350226	0.944
chr11	1776545	0.5097451274362823	0.9505
chr11	1809895	0.1043250171391084	0.9675
chr11	1843444	0.5360972122944965	0.971
chr11	1854636	0.4683840749414524	0.977
chr11	1882391	1.7637033807617608	0.99
chr11	1907622	0.16575501408918247	1.0345
chr11	1925721	1.1212647866793755	1.0375
chr11	1943558	0.0	1.0575
chr11	1966823	0.29184626436781386	1.0575
chr11	1989095	0.0	1.064
chr11	2002194	0.4167679644358007	1.064
chr11	2030987	0.787063537492843	1.076
chr11	2051951	0.9086682726850099	1.0925
chr11	2146595	0.2291475710357453	1.1785
chr11	2203327	7.793713500515287	1.1915
chr11	2226615	0.0	1.373
chr11	2229966	0.15719033503997387	1.373
chr11	2252232	0.4835297673012999	1.3765
chr11	2285322	32.36672524897475	1.3925
chr11	2288736	6.380373220522956	1.503
chr11	2360597	8.36084905660377	1.9615
chr11	2402997	0.06819235700062592	2.316
chr11	2439658	8.720010128505415	2.3185
chr11	2471252	0.0	2.594
chr11	2497679	2.698427468130654	2.594
chr11	2519173	2.077635177782446	2.652
chr11	2538185	0.0	2.6915
chr11	2558154	5.5184323147383365	2.6915
chr11	2584792	34.78497550353839	2.8385
chr11	2593977	1.254947388744092	3.158
chr11	2656131	5.088027376288891	3.236
chr11	2678340	0.15493733645502433	3.349
chr11	2707384	7.219662058371729	3.3535
chr11	2730169	16.106442577030823	3.518
chr11	2773009	3.338749129604168	4.208
chr11	2885027	1.495909146415908	4.582
chr11	2901405	4.192630202323255	4.6065
chr11	2927403	24.95449755723732	4.7155
chr11	2937842	0.0	4.976
chr11	3076781	1.8543319254146584	4.976
chr11	3105902	16.036479147453633	5.03
chr11	3135179	0.0	5.4995
chr11	3283285	10.427110487266873	5.4995
chr11	3298246	3.644823575029093	5.6555
chr11	3324036	0.0	5.7495
chr11	3356496	0.10464629552112702	5.7495
chr11	3394720	0.0	5.7535
chr11	3399721	2.352427608284414	5.7535
chr11	3420338	0.2844320839390791	5.802
chr11	3436159	1.1282089220980978	5.8065
chr11	3463193	0.10543518372084285	5.837
chr11	3482162	4.874549334118144	5.839
chr11	3509344	0.9444278755343537	5.9715
chr11	3529462	11.75724254599283	5.9905
chr11	3553107	0.07110689736903346	6.2685
chr11	3616392	0.04898838975164522	6.273
chr11	3657218	2.0629437727882967	6.275
chr11	3678062	2.4670583537733166	6.318
chr11	3713124	3.58496363822597	6.4045
chr11	3742413	2.596618357487932	6.5095
chr11	3775533	7.7957554108005604	6.5955
chr11	3799328	0.48989589712191645	6.781
chr11	3807493	23.07263348668615	6.785
chr11	3821839	50.420777713290796	7.116
chr11	3828731	13.113236655353282	7.4635
chr11	3835213	2.6922319259307996	7.5485
chr11	3896129	0.08743551630671416	7.7125
chr11	3919003	0.32878425285125984	7.7145
chr11	4011769	6.17220801364024	7.745
chr11	4041094	0.5916909682600159	7.926
chr11	4064755	0.0	7.94
chr11	4092100	0.20381127076325078	7.94
chr11	4101913	1.4526103840068905	7.942
