Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr1	0	0.0	0.0
chr1	161012	0.31853896793374387	0.0
chr1	184557	0.06367688529063949	0.0075
chr1	239522	0.13470432400880072	0.011
chr1	261793	0.09068156262468717	0.014
chr1	289362	0.11995637949836419	0.0165
chr1	335212	0.04360908813396716	0.022
chr1	381074	0.07255577725376376	0.024
chr1	408639	0.0	0.026
chr1	422681	0.2740289100500103	0.026
chr1	437278	0.0	0.03
chr1	443003	3.1645569620253173	0.03
chr1	446795	0.0	0.042
chr1	450369	0.0	0.042
chr1	455093	1.075943692280104	0.042
chr1	477399	1.6449410304158905	0.066
chr1	493509	0.415061761190065	0.0925
chr1	523625	0.4157633712469931	0.105
chr1	557298	0.0	0.119
chr1	569751	1.3540082353377603	0.119
chr1	596708	1.539571139282643	0.1555
chr1	632757	0.0	0.211
chr1	653580	0.26463427543135415	0.211
chr1	672474	0.0	0.216
chr1	705065	0.10948105977665874	0.216
chr1	718766	6.985525487728132	0.2175
chr1	734656	0.0	0.3285
chr1	754383	2.4436889077773034	0.3285
chr1	768501	0.8595988538681956	0.363
chr1	771991	0.16093470878864458	0.366
chr1	834128	0.0	0.376
chr1	856820	0.11277589817947489	0.376
chr1	887855	1.153145862836333	0.3795
chr1	912570	0.0	0.408
chr1	925564	0.3893575600259575	0.408
chr1	971794	1.9868693849343488	0.426
chr1	989158	0.24183346975221393	0.4605
chr1	1016036	0.19651424389450517	0.467
chr1	1089822	0.0	0.4815
chr1	1131808	1.4662756598240483	0.4815
chr1	1143402	1.6916545044447389	0.4985
chr1	1173550	7.742018043380894	0.5495
chr1	1189179	3.0975040402226623	0.6705
chr1	1222593	0.4217926186291744	0.774
chr1	1236818	0.06603275224511118	0.78
chr1	1259534	5.874036422392028	0.7815
chr1	1289241	0.7401315789473691	0.956
chr1	1301401	10.012892135797165	0.965
chr1	1336306	1.6795279164775272	1.3145
chr1	1358336	0.6087662337662418	1.3515
chr1	1373120	1.5619208979721506	1.3605
chr1	1429781	0.08711813218723631	1.449
chr1	1446999	12.055455093429787	1.4505
chr1	1448658	0.0	1.4705
chr1	1463091	0.3760812335464603	1.4705
chr1	1471068	4.753820033955861	1.4735
chr1	1476958	0.0	1.5015
chr1	1483383	0.0	1.5015
chr1	1487361	0.08485218748939168	1.5015
chr1	1516824	0.07565441065214389	1.504
chr1	1536651	0.060884036205700154	1.5055
chr1	1561288	0.22443330590259614	1.507
chr1	1588022	0.029931158335828732	1.513
chr1	1638137	0.03695218387406836	1.5145
chr1	1678730	7.264351523742014	1.516
chr1	1684374	0.09794958861173153	1.557
chr1	1715002	0.1968331729507457	1.56
chr1	1737864	0.06610841780520303	1.5645
chr1	1760554	0.0	1.566
chr1	1767443	0.6315160979194382	1.566
chr1	1810989	0.0	1.5935
chr1	1826725	1.1126470885734563	1.5935
chr1	1856384	0.1918943813325105	1.6265
chr1	1869412	0.11238901584684717	1.629
chr1	1896105	1.3108307389808302	1.632
chr1	1920517	0.7236334292330364	1.664
chr1	2034525	0.44905290659700037	1.7465
chr1	2046773	1.51649652315431	1.752
chr1	2087327	1.647807368461158	1.8135
chr1	2139821	0.5194559879108481	1.9
chr1	2160997	1.0053437188660426	1.911
chr1	2216202	0.1251206520573431	1.9665
chr1	2244175	0.26649610915680855	1.97
chr1	2272318	0.8227374719521295	1.9775
chr1	2292373	0.2922633710492211	1.994
chr1	2316324	0.2475247524752674	2.001
chr1	2330464	4.73113316408952	2.0045
chr1	2343463	0.32981530343008136	2.066
chr1	2372267	0.0	2.0755
chr1	2383907	4.272667971298116	2.0755
chr1	2399237	0.0	2.141
chr1	2408344	0.0	2.141
chr1	2409714	0.23674242424242445	2.141
chr1	2426610	1.2707606832555158	2.145
chr1	2443529	0.0	2.1665
chr1	2462288	0.7334707135622195	2.1665
chr1	2519550	2.990963472063138	2.2085
chr1	2535264	0.388755980861241	2.2555
chr1	2551984	2.6272082138003983	2.262
chr1	2585099	0.1909729800515041	2.349
chr1	2676735	2.9052671199040296	2.3665
chr1	2719244	0.15593105012473396	2.49
chr1	2754516	1.1629785172023916	2.4955
chr1	2785471	3.293579253917648	2.5315
chr1	2799893	0.0	2.579
chr1	2808071	0.4905808477236945	2.579
chr1	2843743	0.919963201471942	2.5965
chr1	2908963	0.9229633275904581	2.6565
chr1	2941467	0.0	2.6865
chr1	2945014	0.0	2.6865
chr1	2946466	0.9453170447934773	2.6865
chr1	2987722	0.29172474149946903	2.7255
chr1	3049424	0.4762101950391256	2.7435
chr1	3073573	1.0873723847687373	2.755
chr1	3123234	0.0	2.809
chr1	3128714	0.07686001229760489	2.809
chr1	3148230	0.11431586352444513	2.8105
chr1	3205090	0.11401208528102723	2.817
chr1	3213861	0.0	2.818
chr1	3257400	0.213738449902994	2.818
chr1	3287811	0.0	2.8245
chr1	3296589	0.27723870252284166	2.8245
chr1	3300196	0.0	2.8255
chr1	3304571	0.25759917568264756	2.8255
chr1	3310394	0.12083131947800613	2.827
chr1	3331084	0.0	2.8295
