Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr6	0	0.0	0.0
chr6	51841	3.5359207953741842	0.0
chr6	75880	2.082610204790003	0.085
chr6	119095	2.452326767637134	0.175
chr6	144581	1.2043823978865034	0.2375
chr6	221799	15.050820953870204	0.3305
chr6	226915	0.4632310364794445	0.4075
chr6	261455	0.0	0.4235
chr6	267414	0.7881168015815767	0.4235
chr6	342276	0.6744301065599574	0.4825
chr6	364517	0.8065698782812696	0.4975
chr6	378155	3.1032394792612887	0.5085
chr6	384761	0.7867054275182065	0.529
chr6	451495	0.15277438279149366	0.5815
chr6	484223	1.0302905419328259	0.5865
chr6	489076	0.0	0.5915
chr6	511856	1.832729405357854	0.5915
chr6	559599	0.3030945958233534	0.679
chr6	592592	9.068963267436551	0.689
chr6	607919	0.0	0.828
chr6	623522	0.0	0.828
chr6	684746	2.456700651025675	0.828
chr6	701028	2.0576131687242705	0.868
chr6	706131	0.633182320836158	0.8785
chr6	818263	1.2094335819391262	0.9495
chr6	843068	2.6910656620021554	0.9795
chr6	848642	10.481413772090184	0.9945
chr6	856847	4.7989204804622165	1.0805
chr6	909463	6.023470765396205	1.333
chr6	928721	0.5735711523208329	1.449
chr6	1233827	0.0	1.624
chr6	1239382	5.557301076113422	1.624
chr6	1264844	2.8378083387906514	1.7655
chr6	1278587	1.6728209957621896	1.8045
chr6	1318938	0.6714644812506405	1.872
chr6	1347979	0.0	1.8915
chr6	1434005	0.0	1.8915
chr6	1439301	3.2207149560617747	1.8915
chr6	1462743	2.5462786138059252	1.967
chr6	1502016	1.5065592888639727	2.067
chr6	1701809	0.11616800474998505	2.368
chr6	1740546	1.0011123470522687	2.3725
chr6	1749536	2.2616661895219017	2.3815
chr6	1801931	0.8393620848155365	2.5
chr6	1851969	2.330809667074421	2.542
chr6	1882216	0.471265539025886	2.6125
chr6	1960728	0.1285225320291627	2.6495
chr6	2034645	0.5467895641306137	2.659
chr6	2060249	0.1902507081554115	2.673
chr6	2107555	0.474550056242972	2.682
chr6	2136003	0.5867232901206948	2.6955
chr6	2207587	0.0	2.7375
chr6	2212894	0.0	2.7375
chr6	2217698	0.4434449336416406	2.7375
chr6	2249269	0.35183737294759393	2.7515
chr6	2262059	1.0055865921788092	2.756
chr6	2266534	0.178303972612506	2.7605
chr6	2294576	0.3431970713850039	2.7655
chr6	2320800	3.169688928202849	2.7745
chr6	2341149	3.5563244905805385	2.839
chr6	2361957	7.708665603402457	2.913
chr6	2388291	4.004871422549061	3.116
chr6	2430989	0.0	3.287
chr6	2452326	6.192163473115696	3.287
chr6	2481395	2.4180700955848873	3.467
chr6	2551699	3.657131753896546	3.637
chr6	2623750	11.577424023154858	3.9005
