Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr16	0	0.0	0.0
chr16	112291	61.10501280643982	0.0
chr16	115024	0.0	0.167
chr16	115041	0.9670957194501366	0.167
chr16	158470	1.0758585773352458	0.209
chr16	182172	0.0	0.2345
chr16	194301	3.1985711966228294	0.2345
chr16	225096	3.2815046469629543	0.333
chr16	247799	3.1204018468719874	0.4075
chr16	267508	0.3383628252042712	0.469
chr16	307406	0.8243500317057711	0.4825
chr16	323176	0.8376648481463987	0.4955
chr16	346455	1.256913021618903	0.515
chr16	376290	1.3219109298464944	0.5525
chr16	425083	0.5056890012642229	0.617
chr16	436948	0.38030560271646896	0.623
chr16	510573	15.187190958323523	0.651
chr16	514820	0.0	0.7155
chr16	544370	1.7392896374954194	0.7155
chr16	566218	0.9474482061647319	0.7535
chr16	605798	1.254393021975695	0.791
chr16	700266	1.1895043731778436	0.9095
chr16	743141	0.8916743095893211	0.9605
chr16	782393	4.0655061841502365	0.9955
chr16	791125	2.7647221454243875	1.031
chr16	801976	2.7449903925336283	1.061
chr16	816548	5.162241887905582	1.101
chr16	818582	1.4665982254161487	1.1115
chr16	832219	6.176914371935119	1.1315
chr16	853427	4.465454069615286	1.2625
chr16	883995	7.537154989384307	1.399
chr16	888705	0.0	1.4345
chr16	911164	0.6359011627906881	1.4345
chr16	933180	5.1085365077344225	1.4485
chr16	964598	3.9971617786187337	1.609
chr16	985738	0.23868627076570048	1.6935
chr16	1006686	9.253903990746105	1.6985
chr16	1015331	2.981317079634287	1.7785
chr16	1030425	2.0397597846345006	1.8235
chr16	1078715	5.338541666666673	1.922
chr16	1105595	0.20823789096663584	2.0655
chr16	1129606	3.7895018746652434	2.0705
chr16	1166946	4.18824357827101	2.212
chr16	1235113	2.4533997110281387	2.4975
chr16	1305016	0.6727757800719154	2.669
chr16	1348121	0.0	2.698
chr16	1360023	0.39668009276211097	2.698
chr16	1409181	2.96139159949088	2.7175
chr16	1468106	2.91520192060364	2.892
chr16	1479769	6.1871906404679775	2.926
chr16	1493103	3.1606851549755217	3.0085
chr16	1512719	2.4842750673925766	3.0705
chr16	1531638	2.1354204853728245	3.1175
chr16	1586194	0.2182703795607036	3.234
chr16	1629718	1.7138733537795265	3.2435
chr16	1646347	3.650529204233634	3.272
chr16	1666755	2.153667054714806	3.3465
chr16	1683935	0.5627295344153311	3.3835
chr16	1700817	0.17137634244802233	3.393
chr16	1727075	2.0275950744275715	3.3975
chr16	1747296	5.824814760395465	3.4385
chr16	1794937	1.1660141982130465	3.716
chr16	1901711	2.0836885075107476	3.8405
chr16	1954502	6.773365379363067	3.9505
chr16	1972809	0.3006233979937364	4.0745
chr16	2004410	0.0	4.084
chr16	2019610	0.5300041222543043	4.084
chr16	2036591	0.5071180939735903	4.093
chr16	2090819	0.0	4.1205
chr16	2107129	0.9327713673737658	4.1205
chr16	2121602	1.1005234196751976	4.134
chr16	2158857	0.0	4.175
chr16	2173590	0.13160588424531836	4.175
chr16	2207783	0.06983923009232598	4.1795
chr16	2279376	0.48170845933577205	4.1845
chr16	2316743	0.3368045441305055	4.2025
chr16	2371671	2.705657283410773	4.221
