Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr1	0	0.0	0.0
chr1	161012	0.0	0.0
chr1	184557	0.2365141453652324	0.0
chr1	239522	0.0	0.013
chr1	261793	0.0	0.013
chr1	289362	0.14176663031624864	0.013
chr1	335212	0.0	0.0195
chr1	381074	0.0	0.0195
chr1	408639	0.0	0.0195
chr1	422681	0.0	0.0195
chr1	437278	0.0	0.0195
chr1	443003	0.0	0.0195
chr1	446795	0.0	0.0195
chr1	450369	0.0	0.0195
chr1	455093	0.0	0.0195
chr1	477399	2.7622594661700806	0.0195
chr1	493509	0.26899396257995123	0.064
chr1	510238	1.1578396952267125	0.0685
chr1	523625	0.10394084281174797	0.084
chr1	557298	0.0	0.0875
chr1	569751	0.0	0.0875
chr1	596708	0.0	0.0875
chr1	632757	0.0	0.0875
chr1	653580	0.39695141314703114	0.0875
chr1	672474	0.6290080083458625	0.095
chr1	705065	0.25545580614553604	0.1155
chr1	718766	7.016991818753934	0.119
chr1	734656	0.0	0.2305
chr1	754383	6.445672191528545	0.2305
chr1	768501	0.0	0.3215
chr1	771991	0.16898144422807682	0.3215
chr1	834128	0.0	0.332
chr1	856820	0.0	0.332
chr1	887855	0.141614404207971	0.332
chr1	912570	0.0	0.3355
chr1	925564	0.227125243348474	0.3355
chr1	971794	6.162174614144209	0.346
chr1	989158	0.13021802217426903	0.453
chr1	1016036	0.34559401512481996	0.4565
chr1	1089822	0.3334444814938316	0.482
chr1	1131808	0.0	0.496
chr1	1143402	0.0	0.496
chr1	1173550	2.1114594663766098	0.496
chr1	1189179	0.0	0.529
chr1	1222593	0.0	0.529
chr1	1236818	0.13206550449022728	0.529
chr1	1259534	3.265223684653448	0.532
chr1	1289241	0.699013157894733	0.629
chr1	1301401	11.216158143532445	0.6375
chr1	1336306	0.24965955515206809	1.029
chr1	1358336	1.0822510822510831	1.0345
chr1	1373120	0.4941670637652005	1.0505
chr1	1429781	6.679056801022186	1.0785
chr1	1446999	1.50693188667869	1.1935
chr1	1448658	0.0	1.196
chr1	1463091	0.0	1.196
chr1	1471068	0.0	1.196
chr1	1476958	0.0	1.196
chr1	1483383	0.0	1.196
chr1	1487361	0.08485218748939168	1.196
chr1	1516824	0.0	1.1985
chr1	1536651	0.12176807241141833	1.1985
chr1	1561288	0.4301638363133114	1.2015
chr1	1588022	0.0	1.213
chr1	1638137	0.0	1.213
chr1	1678730	0.0	1.213
chr1	1684374	0.0	1.213
chr1	1715002	0.0	1.213
chr1	1737864	0.11018069634199854	1.213
chr1	1760554	0.0	1.2155
chr1	1767443	0.8496762044734286	1.2155
chr1	1810989	0.0	1.2525
