Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr8	0	0.0	0.0
chr8	75255	0.0	0.0
chr8	144351	0.0	0.0
chr8	164461	0.0	0.0
chr8	226297	0.0	0.0
chr8	233562	0.0	0.0
chr8	244326	0.0	0.0
chr8	245037	5.821960686114937	0.0
chr8	253024	17.217839805825246	0.0465
chr8	259616	0.28082103201729264	0.16
chr8	800886	0.9212344541685867	0.312
chr8	816083	0.4452359750667858	0.326
chr8	848650	1.4399736690529055	0.3405
chr8	860803	0.05901287553648074	0.358
chr8	954003	2.4968100691545505	0.3635
chr8	1017484	0.6125696101829751	0.522
chr8	1080334	0.46614613681389155	0.5605
chr8	1114658	1.4056909183847297	0.5765
chr8	1126396	1.50146484375	0.593
chr8	1167356	1.8084564442180324	0.6545
chr8	1186986	0.0	0.69
chr8	1231820	0.0	0.69
chr8	1239731	0.0	0.69
chr8	1245328	1.2796406560117008	0.69
chr8	1283620	0.8496556658617305	0.739
chr8	1305982	0.9023423691603563	0.758
chr8	1359731	0.2017665784872017	0.8065
chr8	1382034	0.0	0.811
chr8	1437642	1.539850262836509	0.811
chr8	1475308	0.06375967301355029	0.869
chr8	1624305	0.0	0.8785
chr8	1624495	0.0	0.8785
chr8	1647010	0.0	0.8785
chr8	1699214	1.400560224089639	0.8785
chr8	1726703	0.0	0.917
chr8	1761564	0.27423686499981004	0.917
chr8	1814438	0.3443051921222975	0.9315
chr8	1828960	0.0	0.9365
chr8	1876228	0.16701306413301473	0.9365
chr8	1903172	0.13295397133512388	0.941
chr8	1940779	5.35371830385681	0.946
chr8	1959551	0.0	1.0465
chr8	1981858	0.0	1.0465
chr8	1983591	6.469600996156133	1.0465
chr8	2002062	0.4462009178990315	1.166
chr8	2064814	2.361528553027049	1.194
chr8	2081117	29.704029841619285	1.2325
chr8	2113823	0.7736377702504897	2.204
chr8	2137736	0.0	2.2225
chr8	2159935	2.522983341397657	2.2225
chr8	2203336	0.0	2.332
chr8	2219784	0.7167388382858003	2.332
chr8	2253269	0.19810610563018888	2.356
chr8	2278508	4.298341203535521	2.361
chr8	2295026	1.0331732380207728	2.432
chr8	2312932	1.1303305360506908	2.4505
chr8	2342127	4.921225611240573	2.4835
chr8	2370880	4.986702127659567	2.625
chr8	2375392	0.9878711376982611	2.6475
chr8	2411834	2.4341264528692284	2.6835
chr8	2428267	0.4655493482309129	2.7235
chr8	2436859	3.320094327913622	2.7275
chr8	2452973	6.388555203669323	2.781
chr8	2471287	1.3629548861932683	2.898
chr8	2500635	2.430896973669822	2.938
chr8	2518941	1.5622637705992106	2.9825
chr8	2538784	0.6431331388498721	3.0135
chr8	2733145	0.0	3.1385
chr8	2751641	1.2806648073310924	3.1385
chr8	2786779	4.11019229828253	3.1835
chr8	2807216	8.974700399467372	3.2675
chr8	2825991	19.893283841781695	3.436
chr8	2843233	0.0	3.779
chr8	2862901	17.82388498611337	3.779
chr8	2893506	0.719424460431682	4.3245
chr8	2906016	3.5089633104250684	4.3335
chr8	2933517	43.68932038834952	4.43
