Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr3	0	0.0	0.0
chr3	162026	0.0	0.0
chr3	179714	0.0	0.0
chr3	191253	0.0	0.0
chr3	191956	0.5764849697171751	0.0
chr3	335932	0.0	0.083
chr3	350693	0.0	0.083
chr3	393725	5.285950834288625	0.083
chr3	409427	0.0	0.166
chr3	491520	0.0	0.166
chr3	502523	0.0	0.166
chr3	511099	0.0	0.166
chr3	521069	11.95407740561013	0.166
chr3	537967	0.848917630021723	0.368
chr3	578018	1.3471502590673559	0.402
chr3	597318	0.0	0.428
chr3	606915	0.0	0.428
chr3	629215	0.0	0.428
chr3	639360	0.0	0.428
chr3	646593	0.0	0.428
chr3	653683	0.0	0.428
chr3	684614	0.0	0.428
chr3	690245	0.0	0.428
chr3	735818	0.0	0.428
chr3	765698	0.0	0.428
chr3	768819	0.0	0.428
chr3	787568	4.376458819606535	0.428
chr3	799564	0.0	0.4805
chr3	833859	4.029099048684947	0.4805
chr3	887469	0.0	0.6965
chr3	900987	2.0142093312825	0.6965
chr3	914640	0.0	0.724
chr3	930629	1.5826958586125046	0.724
chr3	968539	1.5110180851814392	0.784
chr3	1053581	5.424954792043405	0.9125
chr3	1065194	0.0	0.9755
chr3	1094696	28.748411689961877	0.9755
chr3	1113584	2.293120638085741	1.5185
chr3	1128629	5.328371463610611	1.553
chr3	1152276	0.0	1.679
chr3	1157041	1.0387416387005453	1.679
chr3	1244647	0.0	1.77
chr3	1258343	0.6754540015824907	1.77
chr3	1310160	0.0	1.805
chr3	1358260	0.0	1.805
chr3	1370128	0.0	1.805
chr3	1384473	1.082890332742663	1.805
chr3	1399710	0.0	1.8215
chr3	1464158	0.0	1.8215
chr3	1469907	2.107825673910467	1.8215
chr3	1486749	0.0	1.857
chr3	1492082	0.0	1.857
chr3	1734236	75.72254335260129	1.857
chr3	1735101	1.339803012746231	1.9225
chr3	1748909	4.412944637603626	1.941
chr3	1760126	0.6867873405336281	1.9905
chr3	1813272	0.0	2.027
chr3	1823190	4.841723766917702	2.027
chr3	1840849	0.0	2.1125
chr3	1872765	5.580448065173135	2.1125
chr3	1885040	0.629405840886206	2.181
chr3	1912844	0.6562487182642227	2.1985
chr3	1937225	0.34716377714188973	2.2145
chr3	1984753	0.0	2.231
chr3	1987065	1.168300123320584	2.231
chr3	2002472	8.008542445274959	2.249
chr3	2015583	0.0	2.354
chr3	2026410	0.0	2.354
chr3	2037806	8.077304261645205	2.354
chr3	2047896	0.0	2.4355
chr3	2060386	21.22369238966343	2.4355
chr3	2071647	2.0319176039661024	2.6745
chr3	2311076	5.277182715920371	3.161
chr3	2330215	3.2521164567416747	3.262
chr3	2339901	0.0	3.2935
chr3	2358272	0.0	3.2935
chr3	2368170	0.0	3.2935
chr3	2388537	1.2438809084343385	3.2935
chr3	2400998	20.341207349081163	3.309
chr3	2401760	1.2223942628962696	3.3245
chr3	2414031	0.0	3.3395
chr3	2421229	28.551532033426195	3.3395
chr3	2424819	1.385463292835165	3.442
chr3	2457660	8.066675592448806	3.4875
chr3	2472598	0.0	3.608
chr3	2492021	0.0	3.608
chr3	2506948	0.0	3.608
chr3	2520895	0.0	3.608
chr3	2534719	1.378916837050065	3.608
chr3	2555750	8.890567074007974	3.637
chr3	2570316	0.0	3.7665
chr3	2581941	1.4580191050779243	3.7665
chr3	2591886	12.643304333685665	3.781
chr3	2604185	1.0775061306383265	3.9365
chr3	2617642	0.0	3.951
chr3	2642412	0.0	3.951
chr3	2654468	0.0	3.951
chr3	2665251	0.0	3.951
chr3	2714554	0.0	3.951
chr3	2734717	0.0	3.951
chr3	2748902	0.0	3.951
chr3	2750058	0.0	3.951
chr3	2762463	1.0593607305936041	3.951
chr3	2789838	0.0	3.98
chr3	2793727	0.0	3.98
