chr snpid bp cM male_cM female_cM
1 1_242598 161013 0 0 0
1 WU_10.2_1_266158 184558 0 0 0
1 ASGA0000005 239523 0 0 0
1 ASGA0000014 261794 0 0 0
1 ASGA0000021 289363 0 0 0
1 WU_10.2_1_722623 335213 0.0085 0.017 0
1 ALGA0000014 381075 0.0085 0.017 0
1 ALGA0000009 408640 0.0085 0.017 0
1 ALGA0000021 422682 0.0155 0.017 0.014
1 ALGA0000022 437279 0.0155 0.017 0.014
1 WU_10.2_1_778943 443004 0.0155 0.017 0.014
1 WU_10.2_1_782736 446796 0.0155 0.017 0.014
1 WU_10.2_1_786318 450370 0.0155 0.017 0.014
1 M1GA0000060 455094 0.0155 0.017 0.014
1 ASGA0000047 477400 0.0355 0.031 0.04
1 H3GA0000048 493510 0.12 0.096 0.144
1 ASGA0000050 510239 0.217 0.096 0.338
1 MARC0072195 523626 0.23 0.096 0.364
1 WU_10.2_1_934682 557299 0.2365 0.109 0.364
1 M1GA0000069 569752 0.2365 0.109 0.364
1 WU_10.2_1_974053 596709 0.63 0.552 0.708
1 MARC0110724 632758 0.63 0.552 0.708
1 WU_10.2_1_1098352 653581 0.63 0.552 0.708
1 WU_10.2_1_1216084 672475 0.63 0.552 0.708
1 H3GA0000057 705066 0.63 0.552 0.708
1 H3GA0000058 718767 0.63 0.552 0.708
1 WU_10.2_1_1334349 734657 0.63 0.552 0.708
1 ALGA0000046 754384 0.63 0.552 0.708
1 ALGA0000047 768502 0.63 0.552 0.708
1 ASGA0000071 771992 0.63 0.552 0.708
1 M1GA0000100 834129 0.655 0.589 0.721
1 H3GA0000077 856821 0.655 0.589 0.721
1 M1GA0000151 887856 0.661 0.589 0.733
1 M1GA0000139 912571 0.6675 0.589 0.746
1 M1GA0000135 925565 0.6675 0.589 0.746
1 H3GA0000082 971795 0.68 0.589 0.771
1 M1GA0000158 989159 0.686 0.601 0.771
1 WU_10.2_1_1884539 1016037 0.686 0.601 0.771
1 ALGA0000232 1089823 0.715 0.636 0.794
1 ALGA0000218 1131809 0.7205 0.647 0.794
1 ASGA0000304 1143403 0.732 0.647 0.817
1 ASGA0000309 1173551 0.7605 0.659 0.862
1 WU_10.2_1_1994718 1189180 0.772 0.67 0.874
1 ASGA0000323 1222594 0.772 0.67 0.874
1 ALGA0000251 1236819 0.772 0.67 0.874
1 WU_10.2_1_2176651 1259535 0.772 0.67 0.874
1 WU_10.2_1_2322507 1289242 0.7775 0.67 0.885
1 CASI0007833 1301402 0.838 0.693 0.983
1 ASGA0101285 1336307 0.849 0.693 1.005
1 WU_10.2_1_2391815 1358337 0.86 0.693 1.027
1 ASGA0083458 1373121 0.86 0.693 1.027
1 1_2463520 1429782 0.9035 0.693 1.114
1 ASGA0102762 1447000 0.958 0.759 1.157
1 MARC0076778 1448659 0.958 0.759 1.157
1 MARC0015795 1463092 0.963 0.759 1.167
