Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr5	0	0.0	0.0
chr5	222124	1.1201524437348716	0.0
chr5	299792	0.0	0.087
chr5	450997	0.0	0.087
chr5	528008	0.0	0.087
chr5	569194	0.0	0.087
chr5	650127	3.6985466887129066	0.087
chr5	661618	8.872868431997782	0.1295
chr5	697683	0.8896401405631404	0.4495
chr5	720164	6.567971311868374	0.4695
chr5	772311	3.0570652173912976	0.812
chr5	784087	0.10878827987598147	0.848
chr5	949546	11.128523536529727	0.866
chr5	999957	7.689855765399637	1.427
chr5	1025055	0.0	1.62
chr5	1041403	0.0	1.62
chr5	1063346	1.8336089738980346	1.62
chr5	1118974	17.057253040640756	1.722
chr5	1125716	0.34864556480581416	1.837
chr5	1173042	0.0	1.8535
chr5	1196043	9.601754021207025	1.8535
chr5	1248950	4.5548971529764355	2.3615
chr5	1307678	5.587123697540748	2.629
chr5	1460082	0.2323390656297718	3.4805
chr5	2249876	1.9087357954545323	3.664
chr5	2272404	0.0	3.707
chr5	2274193	14.148622047244121	3.707
chr5	2278257	58.26271186440648	3.7645
chr5	2278729	0.0	3.792
chr5	2280494	0.0	3.792
chr5	2281917	1.2828513972678808	3.792
chr5	2325180	6.890503633174608	3.8475
chr5	2329171	4.1890576735920195	3.875
chr5	2352804	0.5322294500295535	3.974
chr5	2378169	0.4086233619839357	3.9875
chr5	2413654	0.16750210928582698	4.002
chr5	2494250	0.0	4.0155
chr5	2514453	0.0	4.0155
chr5	2514796	204.47761194029653	4.0155
chr5	2515131	0.0	4.084
chr5	2516479	0.4404404404404453	4.084
chr5	2641354	1.0504201680672292	4.139
chr5	2680862	0.0	4.1805
chr5	2706494	1.973840665873964	4.1805
chr5	2727519	0.0	4.222
chr5	2741950	6.855805139066904	4.222
chr5	2759891	4.761996568277775	4.345
chr5	2811760	3.350679954833343	4.592
chr5	2852498	2.740621398634275	4.7285
chr5	3201324	2.666140021724117	5.6845
chr5	3231705	9.048257372654126	5.7655
chr5	3243641	1.5717255717255723	5.8735
chr5	3303766	0.0	5.968
chr5	3308398	0.0	5.968
chr5	3324582	6.202508468369514	5.968
chr5	3346428	8.164780107626612	6.1035
chr5	3367984	1.1385747935203652	6.2795
chr5	3533981	5.188993620870227	6.4685
chr5	3544484	2.4428501632852644	6.523
chr5	3583373	0.0	6.618
chr5	3604502	0.3185075645546433	6.618
chr5	3648457	0.5628400491963923	6.632
chr5	3696428	1.2093948504645555	6.659
chr5	3740665	0.0	6.7125
chr5	3758059	0.0	6.7125
chr5	3771621	4.376930998970109	6.7125
chr5	3787157	2.3539823008849714	6.7805
chr5	3815407	8.734530636884983	6.847
chr5	3841911	0.32866307166072395	7.0785
chr5	3924062	1.9005952807860234	7.1055
chr5	3938005	1.0545956031475543	7.132
chr5	3950332	2.6076237435995395	7.145
chr5	3960878	3.4190817323347003	7.1725
chr5	3976233	0.0	7.225
chr5	4083184	0.0	7.225
chr5	4100365	0.0	7.225
chr5	4124299	17.58147512864497	7.225
chr5	4131295	0.0	7.348
chr5	4147732	0.9572196450924013	7.348
chr5	4161313	0.0	7.361
chr5	4170685	0.0	7.361
chr5	4183088	1.4920601087072616	7.361
chr5	4192471	0.0	7.375
chr5	4209542	0.0	7.375
chr5	4224079	1.4141771256849933	7.375
chr5	4252364	1.389133110603141	7.415
chr5	4280799	0.0	7.4545
chr5	4290298	0.6298449612403053	7.4545
chr5	4310938	0.0	7.4675
chr5	4322622	2.2351551956814713	7.4675
chr5	4334478	0.0	7.494
chr5	4349366	0.6038366854010823	7.494
chr5	4370895	3.861226371599825	7.507
chr5	4388247	2.755210173083758	7.574
chr5	4402402	7.2076882007474525	7.613
chr5	4411767	14.502956913545447	7.6805
chr5	4429522	1.0821643286573555	7.938
chr5	4441997	0.37007515372352257	7.9515
chr5	4477125	3.3567287152883654	7.9645
chr5	4496787	4.577887226116045	8.0305
chr5	4528461	0.0	8.1755
chr5	4530416	6.284414651663899	8.1755
