chr snpid bp cM male_cM female_cM
1 1_242598 161013 0 0 0
1 WU_10.2_1_266158 184558 0 0 0
1 ASGA0000005 239523 0.013 0.013 0.013
1 ASGA0000014 261794 0.013 0.013 0.013
1 ASGA0000021 289363 0.013 0.013 0.013
1 WU_10.2_1_722623 335213 0.0195 0.013 0.026
1 ALGA0000014 381075 0.0195 0.013 0.026
1 ALGA0000009 408640 0.0195 0.013 0.026
1 ALGA0000021 422682 0.0195 0.013 0.026
1 ALGA0000022 437279 0.0195 0.013 0.026
1 WU_10.2_1_778943 443004 0.0195 0.013 0.026
1 WU_10.2_1_782736 446796 0.0195 0.013 0.026
1 WU_10.2_1_786318 450370 0.0195 0.013 0.026
1 M1GA0000060 455094 0.0195 0.013 0.026
1 ASGA0000047 477400 0.0195 0.013 0.026
1 H3GA0000048 493510 0.064 0.041 0.087
1 ASGA0000050 510239 0.0685 0.05 0.087
1 MARC0072195 523626 0.084 0.05 0.118
1 WU_10.2_1_934682 557299 0.0875 0.05 0.125
1 M1GA0000069 569752 0.0875 0.05 0.125
1 WU_10.2_1_974053 596709 0.0875 0.05 0.125
1 MARC0110724 632758 0.0875 0.05 0.125
1 WU_10.2_1_1098352 653581 0.0875 0.05 0.125
1 WU_10.2_1_1216084 672475 0.095 0.058 0.132
1 H3GA0000057 705066 0.1155 0.08 0.151
1 H3GA0000058 718767 0.119 0.08 0.158
1 WU_10.2_1_1334349 734657 0.2305 0.125 0.336
1 ALGA0000046 754384 0.2305 0.125 0.336
1 ALGA0000047 768502 0.3215 0.26 0.383
1 ASGA0000071 771992 0.3215 0.26 0.383
1 M1GA0000100 834129 0.332 0.268 0.396
1 H3GA0000077 856821 0.332 0.268 0.396
1 M1GA0000151 887856 0.332 0.268 0.396
1 M1GA0000139 912571 0.3355 0.275 0.396
1 M1GA0000135 925565 0.3355 0.275 0.396
1 H3GA0000082 971795 0.346 0.283 0.409
1 M1GA0000158 989159 0.453 0.397 0.509
1 WU_10.2_1_1884539 1016037 0.4565 0.404 0.509
1 ALGA0000232 1089823 0.482 0.424 0.54
1 ALGA0000218 1131809 0.496 0.445 0.547
1 ASGA0000304 1143403 0.496 0.445 0.547
1 ASGA0000309 1173551 0.496 0.445 0.547
1 WU_10.2_1_1994718 1189180 0.529 0.499 0.559
1 ASGA0000323 1222594 0.529 0.499 0.559
1 ALGA0000251 1236819 0.529 0.499 0.559
1 WU_10.2_1_2176651 1259535 0.532 0.505 0.559
1 WU_10.2_1_2322507 1289242 0.629 0.586 0.672
1 CASI0007833 1301402 0.6375 0.592 0.683
1 ASGA0101285 1336307 1.029 0.978 1.08
1 WU_10.2_1_2391815 1358337 1.0345 0.984 1.085
1 ASGA0083458 1373121 1.0505 0.995 1.106
1 1_2463520 1429782 1.0785 1.024 1.133
1 ASGA0102762 1447000 1.1935 1.138 1.249
1 MARC0076778 1448659 1.196 1.138 1.254
