Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr9	0	0.0	0.0
chr9	90988	0.10702818408847661	0.0
chr9	133033	4.359197907585004	0.0045
chr9	138768	0.0	0.0295
chr9	157275	0.0	0.0295
chr9	157385	0.05905578240475151	0.0295
chr9	216651	0.0	0.033
chr9	250694	0.0	0.033
chr9	278095	0.0	0.033
chr9	290107	0.0	0.033
chr9	315791	0.07383343177790892	0.033
chr9	356423	0.25217500945656307	0.036
chr9	380216	0.10714668381013592	0.042
chr9	408215	0.2333308444709924	0.045
chr9	461787	0.0	0.0575
chr9	482530	2.0352127941424407	0.0575
chr9	524049	0.0	0.142
chr9	570496	0.0	0.142
chr9	604794	1.7950635751682888	0.142
chr9	611479	1.9122744113780346	0.154
chr9	619846	0.214083863785573	0.17
chr9	654879	0.3141928494041173	0.1775
chr9	701029	0.0	0.192
chr9	701125	0.0	0.192
chr9	709584	0.08020275255846787	0.192
chr9	740755	0.08876895217128865	0.1945
chr9	768918	4.989434139469356	0.197
chr9	777436	0.8513307644054134	0.2395
chr9	788595	1.9009599847923218	0.249
chr9	799116	6.501819161838025	0.269
chr9	813958	0.3388681802778722	0.3655
chr9	819860	2.94445683693955	0.3675
chr9	842275	0.0	0.4335
chr9	845013	0.19413845667117277	0.4335
chr9	914551	1.104728236853735	0.447
chr9	916814	0.1398902399655656	0.4495
chr9	963279	1.9826348533533855	0.456
chr9	977906	3.972528952329649	0.485
chr9	985332	1.2484532437687819	0.5145
chr9	1030588	3.380454824830985	0.571
chr9	1041977	5.333921665325613	0.6095
chr9	1080504	2.097281600387192	0.815
chr9	1092901	0.0	0.841
chr9	1108308	1.3886822397460707	0.841
chr9	1128471	0.23491334307788994	0.869
chr9	1147627	0.28368320929145785	0.8735
chr9	1177590	0.2064580064414854	0.882
chr9	1189699	0.5337854810349163	0.8845
chr9	1221547	0.16373208393158672	0.9015
chr9	1261246	0.0	0.908
chr9	1268009	0.08355149557176977	0.908
chr9	1321868	1.9033867156734057	0.9125
chr9	1375194	0.1617250673854389	1.014
chr9	1393744	2.4176560704710837	1.017
chr9	1414632	0.0	1.0675
chr9	1490012	0.053934200275663736	1.0675
chr9	1823752	4.510809078951807	1.0855
chr9	1883054	0.0	1.353
chr9	1898505	0.0	1.353
chr9	1941697	0.0	1.353
chr9	1952672	0.7422660664687324	1.353
chr9	1973554	1.3813657029737407	1.3685
chr9	2019523	0.0	1.432
chr9	2024787	16.943380161770975	1.432
chr9	2048277	0.5419671049531007	1.83
chr9	2069496	2.029929660576885	1.8415
chr9	2090679	0.9739773238099921	1.8845
chr9	2110700	0.14581085415998704	1.904
chr9	2144991	0.9464781852044062	1.909
chr9	2177744	2.5826914363389255	1.94
chr9	2210849	1.5102698348771624	2.0255
chr9	2225747	0.3390596745027128	2.048
chr9	2296531	0.3290736576536929	2.072
chr9	2314764	1.03092783505156	2.078
chr9	2332224	0.8709231785692809	2.096
