Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr10	0	0.0	0.0
chr10	188995	10.072211446332172	0.0
chr10	231786	0.5724192071176245	0.431
chr10	262358	0.7827723464850188	0.4485
chr10	322401	0.44567251983242634	0.4955
chr10	367277	3.2233047355920705	0.5155
chr10	408539	0.0	0.6485
chr10	491186	0.2711722987067193	0.6485
chr10	515156	2.0583497404689446	0.655
chr10	565439	0.36428213651473096	0.7585
chr10	719166	3.246380142495978	0.8145
chr10	736570	0.0	0.871
chr10	740405	0.3074715588808038	0.871
chr10	769676	2.2513015336991695	0.88
chr10	819425	0.04088233156479449	0.992
chr10	929497	0.0	0.9965
chr10	963739	0.0	0.9965
chr10	990502	0.3169967916082307	0.9965
chr10	1094604	2.8040997872751805	1.0295
chr10	1115288	2.6611840934173556	1.0875
chr10	1171466	11.577424023154844	1.237
chr10	1187359	5.7731531095516315	1.421
chr10	1216286	5.013507896924351	1.588
chr10	1254782	3.442455174980397	1.781
chr10	1330019	0.29929780131230344	2.04
chr10	1373454	6.729957805907172	2.053
chr10	1397154	20.39177906229926	2.2125
chr10	1400268	6.6122644905796255	2.276
chr10	1441933	2.1766303176587214	2.5515
chr10	1465134	12.601332370174173	2.602
chr10	1477593	8.694362017804158	2.759
chr10	1494443	1.394488625855372	2.9055
chr10	1629618	0.2668623657348725	3.094
chr10	1674585	2.8071806608496646	3.106
chr10	1702549	0.7053153347309032	3.1845
chr10	1753590	13.472328045992944	3.2205
chr10	1768027	0.0	3.415
chr10	1841822	0.17909164716557238	3.415
chr10	1883700	0.0	3.4225
chr10	1939230	6.203813520664179	3.4225
chr10	1983074	0.0	3.6945
chr10	2003072	20.190527614933657	3.6945
chr10	2029000	17.511216220916072	4.218
chr10	2057753	1.2797334031890273	4.7215
chr10	2290614	0.619914761720264	5.0195
chr10	2303519	0.056587605697560855	5.0275
chr10	2365370	0.2677913905068252	5.031
chr10	2380307	3.9014373716632496	5.035
chr10	2421702	11.393007754047067	5.1965
chr10	2451106	5.196580314889552	5.5315
chr10	2528657	4.223791718598528	5.9345
chr10	2564762	18.705284027239077	6.087
chr10	2576363	1.3174720037199135	6.304
chr10	2653784	0.0	6.406
chr10	2665637	0.9899321791145498	6.406
chr10	2689376	3.41013998530437	6.4295
chr10	2742453	1.18673356790407	6.6105
chr10	2790484	0.8392468382829432	6.6675
chr10	2850657	1.875419870120181	6.718
chr10	2904245	4.8334815409770195	6.8185
chr10	2939106	3.2404406999351667	6.987
chr10	2959165	4.292245964355721	7.052
chr10	2980599	0.11368804001818478	7.144
chr10	3011385	0.8226422485554757	7.1475
chr10	3062440	1.5644130050333678	7.1895
chr10	3077142	1.1884656283229926	7.2125
chr10	3109116	3.9436993759129018	7.2505
chr10	3146771	2.1421978536692885	7.399
chr10	3219360	10.13973592278999	7.5545
chr10	3253138	0.34917484470908455	7.897
chr10	3307552	0.7950224680262595	7.916
chr10	3336482	1.1169318968073494	7.939
chr10	3387067	0.0	7.9955
chr10	3398589	0.12999168053245086	7.9955
chr10	3456285	0.3304765471810476	8.003
chr10	3501674	0.6220534311157716	8.018
chr10	3532218	0.31533307055573984	8.037
chr10	3544903	1.246997967855164	8.041
chr10	3620685	0.0	8.1355
chr10	3637303	0.40803743063362	8.1355
chr10	3692445	1.245577297999903	8.158
chr10	3720143	5.50142506793918	8.1925
chr10	3735230	0.2394406666028249	8.2755
chr10	3766553	0.12274959083470187	8.283
chr10	3827653	3.869729428518358	8.2905
chr10	3859955	0.570008223069447	8.4155
chr10	3913463	1.8474244729406546	8.446
chr10	3950271	0.13794757991962867	8.514
chr10	4033636	3.213170388288189	8.5255
chr10	4089033	9.303477024803941	8.7035
chr10	4151644	0.8940101321148645	9.286
chr10	4181845	10.479921645445613	9.313
chr10	4227790	0.5374133823361893	9.7945
chr10	4631576	0.3666585186995983	10.0115
chr10	4652031	0.0	10.019
chr10	4684141	0.0	10.019
chr10	4696697	3.7008180755746025	10.019
chr10	4735202	0.6026018219843131	10.1615
chr10	4791624	0.13368537147827064	10.1955
chr10	4821545	3.0138720686997362	10.1995
chr10	4857877	4.60751574586803	10.309
chr10	4881534	0.41127002639494303	10.418
chr10	4962989	0.0	10.4515
chr10	4991387	10.707487309644794	10.4515
chr10	4997691	3.8948888482111896	10.519
chr10	5046858	18.745067087608582	10.7105
chr10	5059528	0.20183535617213286	10.948
chr10	5096687	0.0	10.9555
chr10	5106896	0.0	10.9555
chr10	5145301	0.0	10.9555
chr10	5150787	0.0	10.9555
chr10	5177965	0.637776509684137	10.9555
chr10	5207756	2.461545442170683	10.9745
chr10	5251834	6.6089601122938095	11.083
chr10	5260383	33.026755852842825	11.1395
chr10	5267559	19.027006073136075	11.3765
chr10	5298515	9.337025869320447	11.9655
chr10	5375788	0.4562321309082234	12.687
chr10	5408666	1.7063293443144945	12.702
chr10	5430643	6.9391745019100455	12.7395
chr10	5508390	0.20814831261102032	13.279
chr10	5544422	0.3858811194920991	13.2865
chr10	5613096	1.3337893296853522	13.313
chr10	5671576	10.24613623354313	13.391
chr10	5680311	0.6315825410102045	13.4805
chr10	5738894	0.48934438848445444	13.5175
chr10	5829832	18.444846292947567	13.562
chr10	5865777	3.548680618744367	14.225
chr10	5887757	1.3396332301453655	14.303
chr10	5942996	3.5111061832427746	14.377
chr10	5997110	12.389106171897334	14.567
chr10	6039042	6.076695259870806	15.0865
chr10	6104209	11.89993152942966	15.4825
chr10	6183075	17.930901988409026	16.421
chr10	6214306	1.4823180631043702	16.981
chr10	6256807	0.0	17.044
chr10	6282037	0.07091821357016086	17.044
chr10	6338440	0.0	17.048
chr10	6346936	1.2396231545610226	17.048
chr10	6409455	8.439478002656914	17.1255
chr10	6422252	0.09020541060644151	17.2335
